etX,Y,INTERSECTIONID,ROUTEID,MEASURE,INTERSECTIONNAME,GRADE,INTERSECTIONKEY,ACISA,OBJECTID
-76.9795779185071,38.9326197885624,12001802_47071702,12001802,2568.1730957,18TH ST NE & Alley-47071702,,a0dfbd5ebb5783d5dde846488e53b8b3,,3881104
-76.975115070657,38.8961188266439,12031332_12076962_47063422,47063422,50.80099869,Alley-47063422 & ROSEDALE ST NE & E ST NE,10,41dc945f6c828f747d23653481555b47,,3881105
-76.9607199045672,38.8902763313206,47038322_47053892_47061882,47061882,0,Alley-47061882 & Alley-47038322 & Alley-47053892,10,68fb07403ec5a990473fc6ec36267c73,,3881106
-76.9879084821218,38.914683325312,12051742_12064672,12064672,2006.35205078,NEW YORK AVE NE & KENDALL ST NE,13,03523ac053d9b4c050f30be70dffe356,3183,3881107
-76.9533900100284,38.8930967711474,47013602_47021642_47036972,47013602,0,Alley-47013602 & Alley-47021642 & Alley-47036972,10,636257dd1fe899858eb0e81206b1201b,,3881108
-76.9889342505391,38.9551345682694,12031982_47026582,47026582,71.65200043,Alley-47026582 & EASTERN AVE NE,10,5436ca00bb47ee717b61c63e35fc4a59,,3881109
-76.9992518691986,38.8248547813078,13000602_47028042,47028042,0,Alley-47028042 & 6TH ST SE,,d5d0d9f2690a3326a28d29ad954588eb,,3881110
-76.9711534070127,38.9277258427045,12002502_12043032,12043032,2118.80297852,HAMLIN ST NE & 25TH ST NE,,7adc84c54c7062d0620aff39c27ad173,,3881111
-77.0259686073983,38.9661412531439,11000902_11079882,11079882,1292.03198242,SHERIDAN ST NW & 9TH ST NW,12,80344f8d8d0abc62f1501b4aa0fcf620,,3881112
-76.9962927522363,38.8300893937023,13017482_47013542,47013542,0,Alley-47013542 & BRANDYWINE ST SE,10,d4ab3401e5140b966e999c35ebc6a830,,3881113
-77.0762503946447,38.9251685043573,11086972_58001982_58011392,58011392,0,Driveway-58011392 & TUNLAW RD NW & Driveway-58001982,10,7d74a53567840c1451469349811c7e3a,,3881114
-77.0211761106306,38.9613210027957,11000602_11066752,11000602,3939.33203125,6TH ST NW & OGLETHORPE ST NW,11,82a69b61ee722073b4fdadbc8f70649f,,3881115
-77.022692949258,38.9281771639705,11024632_47000142,11024632,449.77600098,COLUMBIA RD NW & Alley-47000142,10,3c1ddf07b9030532d633fdbc928aec6d,,3881116
-76.9242401914728,38.8997132215188,12044072_58021192,12044072,3112.70703125,HAYES ST NE & Driveway-58021192,10,dd50508898a078762fb02924b2af2766,,3881117
-77.0384941254188,38.9091504692413,11001702_47085732,11001702,2269.30493164,17TH ST NW & Alley-47085732,10,95eb550787acba719af3351e52ca21c0,,3881118
-77.0143963396353,38.87388696925,14028662_58011422,14028662,842.57598877,DELAWARE AVE SW & Driveway-58011422,10,ca81c3ea0a33b75e4bcaff705aec42ea,,3881119
-77.0142381683355,38.9637782261441,11072932_47018682_47036672,47036672,0,Alley-47036672 & QUACKENBOS ST NW & Alley-47018682,10,2bf6676679bfac37a3747984b43801c8,,3881120
-76.983225932684,38.8966759628123,12034382_47064582,47064582,101.97799683,Alley-47064582 & F ST NE,10,b153abd8d9b9e80cd2c0112f0a99c564,,3881121
-76.9575435394705,38.8756837389477,13003402_13057852,13003402,659.60601807,34TH ST SE & M ST SE,11,7c79e501a9a6131ae727c960c0a15bb5,,3881122
-77.0255679612602,38.9686381298708,11087422_47031362,47031362,40.37200165,Alley-47031362 & UNDERWOOD ST NW,,5e48f1a4b1ba0e97cd40f28b93525dcb,,3881123
-77.0151844768745,38.9103889133754,11000302_11014102,11014102,531.78198242,BATES ST NW & 3RD ST NW,,ebe7d7994a9373fe810ea39a1d5d4e6a,,3881124
-77.0281280815187,38.9773202290663,58002372_58024382*1,58024382,0,Driveway-58024382 & Driveway-58002372,10,4b993ce1e144e951b9c5a67cba099527,,3881125
-76.9548065383213,38.8947711191404,12003602_12029702,12003602,453.56100464,36TH ST NE & DIX ST NE,11,19e77b1ad11eef4e7a5e7da34281da7d,,3881126
-76.9980698079544,38.8954647779017,12055312_47045772_47082652,47045772,0,Alley-47045772 & LEXINGTON PL NE & Alley-47082652,,cc8d6be8690b8d3c8ddbe0560c874333,,3881127
-77.0158718580179,38.8284007806904,14022552_36002112,36002112,0,Ramp-36002112 & CHESAPEAKE ST SW,10,d71c1553e542b601d3e0a9bfa15406cd,,3881128
-77.05751193574,38.964745064536,11060122_11088332*1,11060122,132.48300171,MCKINLEY ST NW & UTAH AVE NW,11,f45fbf06777de54647dfa74e4920efd6,,3881129
-77.0188063592566,38.9326984943366,11068832_11068902,11068902,0,PARK RD NW & PARK PL NW,11,0ece5c2e1fa87e0f70e851f1fdb9c7de,,3881130
-76.9807642246851,38.8944513003641,12001702_47019182_47024212,47024212,65.24099731,Alley-47024212 & 17TH ST NE & Alley-47019182,10,cde8b7111557ba91d72e363d0336e52b,,3881131
-77.032862540213,38.9497453543971,11033472_47057982,47057982,0,Alley-47057982 & EMERSON ST NW,10,6af0c4c0039b50c03a02cc40f2329274,,3881132
-77.0720130878681,38.9247061827141,11003632_11032432,11003632,119.21499634,36TH PL NW & EDMUNDS ST NW,11,96f3d6566eafcfa187e798485e0cd037,,3881133
-76.9439532597701,38.8687112670071,13004102_13037372,13004102,216.29899597,41ST ST SE & FORT DUPONT ST SE,12,a4b7a832ada6f06b155c1fbdf43bb729,,3881134
-77.0005709760591,38.9209192098371,12000402_47039742,12000402,3175.07202148,4TH ST NE & Alley-47039742,10,0b7b362858ee46d1c7620dac1ec24cec,,3881135
-77.060011869586,38.9084818519565,11065842_47067262,47067262,0,Alley-47067262 & O ST NW,10,925ae6f29fc14162416d250b9523b856,,3881136
-77.0639062825711,38.9028215678866,11021122_11091452,11091452,102.6740036,WATER ST NW & CECIL PL NW,12,119be6636e1cc0711b61ebbc37608fa9,,3881137
-76.9971426253639,38.9425539694339,12000632_12089052_12089112,12089112,500.67300415,VARNUM ST NE & 6TH PL NE & VARNUM PL NE,11,5f6b119f7d8de69b46895c2262de85e8,,3881138
-76.9924171012005,38.9224438765393,12001002_12018722_12075462,12018722,447.95800781,BRYANT ST NE & 10TH ST NE & RHODE ISLAND AVE NE,13,4fd3baae3215db1e75119a498d394bd7,3186,3881139
-77.0490596021952,38.9193321034412,11014952_11025152,11025152,2221.7019043,CONNECTICUT AVE NW & BELMONT RD NW,10,b3804dcb18c196fdc26841ed2152b969,,3881140
-76.9819881866817,38.8798655394522,13052262_47060922,47060922,0,Alley-47060922 & KENTUCKY AVE SE,,db463e84ed3afaeb93f74b3672e11424,,3881141
-77.0192642496427,38.971282824663,11093342_47049212,47049212,0,Alley-47049212 & WHITTIER ST NW,10,35c7d765eee68a6b8b50ed0282be3bde,,3881142
-76.9949572294312,38.8261610114977,13081512_58018082,58018082,0,Driveway-58018082 & SOUTHERN AVE SE,10,4815db3e82c77347371067ecc302f912,,3881143
-77.0090531842889,38.9108025549308,11036722_12036722_15065322,12036722,0,FLORIDA AVE NE & FLORIDA AVE NW & NORTH CAPITOL ST BN,13,879314a7991a6047f34407e379ba1e9e,3037,3881144
-77.0303432316959,38.8999870420873,11042442_11064672,11042442,1943.95300293,H ST NW & NEW YORK AVE NW,13,d1d95452db0f5bf677473cff8353670a,2135a,3881145
-76.9409393637437,38.8799978776314,47015842_47074382_47082582,47015842,0,Alley-47015842 & Alley-47074382 & Alley-47082582,,be035553ce7a88b05ad13fdd981f44d5,,3881146
-77.0130381010563,38.8952045709341,47085932_47085942,47085942,0,Alley-47085942 & Alley-47085932,,4f1c03934abcf87f08b84449f72fd34a,,3881147
-77.0361874237076,38.9071394892862,11059602_11078712*1,11078712,67.84100342,SCOTT CIR NW & MASSACHUSETTS AVE NW,13,df6a406d2e5ef8013697ba164f4d19ff,1059a,3881148
-76.9819729317728,38.8980986023536,12001602_47035132,47035132,141.36799622,Alley-47035132 & 16TH ST NE,,4984253f044ba246e429f4967bef345c,,3881149
-76.9207079493887,38.8991157038841,12044072_47039322,47039322,0,Alley-47039322 & HAYES ST NE,,b40690a1b076ada46f49c086996c0afd,,3881150
-76.9428388516469,38.8831766588635,13019042_47001802,47001802,51.36700058,Alley-47001802 & BURBANK ST SE,10,c22dd8222fa322ee9897afa1fdc4e495,,3881151
-77.0280875001873,38.906139322306,11001202_47065682,47065682,0,Alley-47065682 & 12TH ST NW,10,17c3a872ca1b50bc967f2ee52f3e38c5,,3881152
-77.0856001345766,38.9506641066713,47023112_47025172_47075792,47023112,52.13700104,Alley-47023112 & Alley-47025172 & Alley-47075792,10,73536fe23ab209851ced9398bcd216df,,3881153
-77.0280818725679,38.9141005740007,11001202_11077672,11077672,1542.0970459,S ST NW & 12TH ST NW,12,69612c7b867ccba6ffd3efbb0a28f176,,3881154
-77.0396941970606,38.9031938810363,11025152_47045592,11025152,215.03399658,CONNECTICUT AVE NW & Alley-47045592,10,86c9272e1aa8fa4d43d2bee14d985999,,3881155
-77.0638843191177,38.9649152555084,11003202_11060122,11003202,2746.9140625,32ND ST NW & MCKINLEY ST NW,12,cb8d45892c6c5c2434a78980586bf5a8,,3881156
-77.0341282618843,38.9627321274905,58000762_58006622_58010042,58006622,85.40299988,Driveway-58006622 & Driveway-58000762 & Driveway-58010042,10,cbdd380492487cf98cc1bbfd23e4e33d,,3881157
-76.9902409331501,38.9452675236856,12001202_12009882_47037332_58002382,12009882,255.69500732,ALLISON ST NE & 12TH ST NE & Alley-47037332 & Driveway-58002382,12,5511cf09de6e605149593ef115dfb22f,,3881158
-76.9869396052875,38.8595039619593,13018652_13062072,13062072,567.03399658,MORRIS RD SE & BRYAN PL SE,11,34f6f138a08c9ba2528d6827040b8e77,,3881159
-76.994968355135,38.8841916481516,13000802_13069812,13069812,834.58001709,PENNSYLVANIA AVE SE & 8TH ST SE,13,34f15beb8ac251d82eb5f74cd211c737,4028,3881160
-77.0043477248623,38.9637681844396,12024782_47089652,47089652,0,Alley-47089652 & CONCORD PL NE,10,aa624423a5cf1116da9c1dc977da581e,,3881161
-76.9883105842899,38.9002089774586,12001302_12042442,12001302,1158.14697266,13TH ST NE & H ST NE,13,1a0f746ff9415ac89fdf964a5367254e,3105,3881162
